Proband;IP;Video;Distancemeasure;total_distance;mean_distance;zero-overhead-counter;ref before query (rbq);query berfore ref (qbr);max rbq;max qbr;max distance;min distance
pb1;1;Spot7;winkellog;699121.4529458233;75.03718503228757;1285;2550;10223;411;-2686;179.5241501861045;3.044610418971972e-05
pb1;1;Spot8;euklid;2164134.220895968;181.0990979829262;632;807;17270;255;-3955;499.8486063807622;0.23780297368786765
pb1;1;Spot8;winkel;608185.0585150692;50.894147156072734;584;6100;13028;2544;-3969;179.5943076498609;0.00250830226246532
pb1;1;Spot8;winkellog;542913.4788637835;45.432090281488165;584;6108;13162;2552;-3988;179.83962609330942;2.1843704601940025e-06
pb1;1;GL1;euklid;3042619.108759875;183.11381251564003;341;6256;16599;1117;-3395;572.2856236631234;2.5103736326247756
pb1;1;GL1;winkel;773736.5340190004;46.5657519269981;15;6317;17938;657;-3172;176.09837276128533;0.013872896894494105
pb1;1;GL1;winkellog;728220.3233161952;43.82645181248166;15;6649;19404;654;-4796;177.6281954879713;0.0004065361356284232
pb1;1;GL2;euklid;1291282.2874677386;174.0976523483536;587;1360;6660;76;-749;430.0859819387941;4.0764844964381055
pb1;1;GL2;winkel;469681.1672222997;63.324951762478044;788;891;7175;286;-946;179.54698268127927;0.08168490133375188
pb1;1;GL2;winkellog;395260.64743297535;53.29117533139751;582;1101;7243;286;-946;178.34959835976716;0.00024588538164938814
pb1;1;GL3;euklid;2410246.9317043344;220.11387504149172;525;5502;9621;1292;-1702;439.33038524096327;0.527735920938022
pb1;1;GL3;winkel;765941.7654313328;69.94901967409432;519;415;15322;140;-4499;179.94549372292897;0.008637263077230799
pb1;1;GL3;winkellog;754916.134324813;68.94211272372722;519;402;15004;140;-3648;179.39339928670952;2.400197175071738e-05
pb1;1;GL4;euklid;2776314.301697375;255.88150246058754;334;0;16218;0;-5532;525.3282830810981;8.210111014759345
pb1;1;GL4;winkel;643754.0325787173;59.33216890126427;214;156;14946;36;-3356;174.53974749606814;0.0557675097108844
pb1;1;GL4;winkellog;612936.8627138948;56.491876747824406;214;236;14942;116;-3356;174.53974749543093;3.439845073270958e-05
pb1;1;GL5;euklid;2536137.0707130176;174.31693385889184;1020;17038;1781;2946;-166;832.9086274651954;0.13447502694845176
pb1;1;GL5;winkel;867057.508963523;59.59567729490157;743;3531;17584;227;-3987;179.36309289827946;0.0036960103734792415
pb1;1;GL5;winkellog;706608.4775525107;48.56749450494953;1280;13650;7823;4348;-988;174.69529551068916;0.00022345104368631514
pb1;1;GL6;euklid;1970639.4398856452;186.79046823560617;441;10754;2299;1800;-202;413.81848446934157;3.9442188877189284
pb1;1;GL6;winkel;569845.2298750494;54.013765864933596;947;10334;4166;1804;-1489;179.34739388434107;0.03624681941204548
pb1;1;GL6;winkellog;636927.334404898;60.37225918529839;443;13815;3335;4927;-824;179.34739388434107;0.003987612193563516
pb1;1;GL7;euklid;2440772.3895598557;225.64226583709493;561;3573;9891;337;-1297;586.7673136080859;7.32883682624562
pb1;1;GL7;winkel;599513.0408908527;55.423226485241074;381;636;15254;183;-3531;179.86649170931838;0.031184149620054107
pb1;1;GL7;winkellog;586199.7727196908;54.192453796772746;189;829;15254;184;-3531;179.86649170931835;0.00016985999506570032
pb1;1;GL8;euklid;2141420.1269027973;175.2963430666992;459;12311;5541;2348;-1348;494.1773449629096;10.369156941774838
pb1;1;GL8;winkel;756285.0239237924;61.90938309788739;778;10444;7602;2809;-2160;172.53744295310725;0.015592177462751829
pb1;1;GL8;winkellog;585586.5487135384;47.93603051027656;180;11032;7760;2809;-2160;172.53744155235194;0.0001565916769103816
pb1;1;BGL1;euklid;2591657.7250187406;218.3919882884251;212;13810;2507;3031;-295;535.3566035484238;1.2883448707527647
pb1;1;BGL1;winkel;764665.3054379177;64.43627752910741;209;0;18456;0;-5604;179.25432569605255;0.0012173120696400185
pb1;1;BGL1;winkellog;777545.4570799415;65.52165307827939;209;0;19450;0;-6484;178.12214703278914;0.0004692606451014291
pb1;1;BGL2;euklid;1985448.522536449;173.40161768877283;441;5086;8709;488;-1004;498.3266504441301;2.2359278027074168
pb1;1;BGL2;winkel;666472.4464176297;58.20720056049168;1032;1564;13047;144;-2835;178.1241419609229;0.004806283386962764
pb1;1;BGL2;winkellog;642005.0581951003;56.0703107593974;355;37;17593;7;-5052;178.12414180107194;0.002739785014133643
pb1;1;BGL3;euklid;3689351.4768555826;248.44117689263183;866;2139;17116;632;-1659;563.0808045417523;8.829114439830958
pb1;1;BGL3;winkel;911164.1140476546;61.357852797821856;271;0;19999;0;-1674;178.92108451853818;0.005475145886106124
pb1;1;BGL3;winkellog;823823.6106646266;55.47633741849337;863;731;18468;39;-1678;178.81392987984103;7.802735310655004e-05
pb1;1;BGL4;euklid;1851576.886246027;195.23164131653596;856;5616;6701;2060;-1084;543.3386619220121;4.585340616922366
pb1;1;BGL4;winkel;538334.3995598212;56.76237869673358;1408;7011;5596;2076;-1466;177.68482533381987;0.03506093659690041
pb1;1;BGL4;winkellog;570111.2535825098;60.1129537729344;891;1109;12664;146;-4536;175.73679077351994;0.0001798360929740819
pb1;1;BGL5;euklid;2937530.737050035;181.51954131187264;828;11666;7227;1390;-903;560.9205031416334;0.5291716672184312
pb1;1;BGL5;winkel;637275.4636586555;39.37931555698298;834;15926;6108;3090;-1429;178.27121220462502;0.014033556592207641
pb1;1;BGL5;winkellog;749345.0153341212;46.30445624013602;832;13907;8754;2409;-1749;176.72657846013405;3.359523277202977e-06
pb1;1;BGL6;euklid;2716354.173633855;219.3615580742837;1369;11235;3900;3060;-335;488.91268820751475;4.989634694836339
pb1;1;BGL6;winkel;603209.6472168778;48.71272286335119;831;13167;3677;1957;-380;168.69616181809698;0.001607833276704558
pb1;1;BGL6;winkellog;544249.0847855455;43.951311054312;831;13194;3677;1957;-380;167.26288429726077;0.00010913361513146649
pb1;1;BGL7;euklid;1971178.892009811;199.4514714165548;171;6763;5793;996;-660;456.91270493117133;6.068769457982786
pb1;1;BGL7;winkel;954484.7115823452;96.57843889328596;525;3383;9574;220;-2616;179.76250937131528;0.012121085187202035
pb1;1;BGL7;winkellog;852933.0123689047;86.30304688545023;529;4430;7902;252;-2436;179.96821607753145;7.385665815579109e-05
pb1;1;BGL8;euklid;2469044.3872602987;194.1683223702657;550;4738;13227;1470;-2390;426.62278892587466;0.9638397406586718
pb1;1;BGL8;winkel;920113.1411689108;72.35869307713989;1148;13812;4317;4428;-905;179.98771603687385;0.02022850283393877
pb1;1;BGL8;winkellog;825473.2974509572;64.91611335726307;1146;12114;6240;5020;-905;179.98771603687385;7.758931271090961e-05
pb1;1;Control1;euklid;1896813.0163849236;201.424340701383;138;2354;9068;260;-657;549.746048963357;0.9851591533596595
pb1;1;Control1;winkel;540195.2502488411;57.36383670477234;955;1966;10915;275;-3265;179.81669152084066;0.001963052319532111
pb1;1;Control1;winkellog;521921.87162711995;55.423369611035355;955;1966;10983;275;-3265;179.81669145294222;1.2845689850874904e-05
pb1;1;Control2;euklid;2070453.1816383826;227.94816488367087;242;0;13177;0;-2898;441.2390755485776;1.2178978625817052
pb1;1;Control2;winkel;511784.3894954825;56.34530325833783;1180;0;12565;0;-2028;179.97797346823182;0.0005060530380417807
pb1;1;Control2;winkellog;514462.8175006158;56.64018688766;1182;611;11998;164;-2028;179.97797346823182;5.987513914444236e-06
pb1;1;Control3;euklid;1835571.717166247;196.3178307129676;171;3701;8296;682;-526;630.7860482345995;0.6362204232187912
pb1;1;Control3;winkel;405543.49733982986;43.373636079126186;175;2055;10972;209;-944;179.9073626988645;0.00048440501428233734
pb1;1;Control3;winkellog;349848.8342391559;37.41698761916106;175;2118;11047;209;-944;179.9073626988645;8.562249918359508e-06
pb1;1;Control4;euklid;2427853.984048092;192.4272001306247;1324;6565;10362;1972;-1456;553.022669541442;0.39661665512246697
pb1;1;Control4;winkel;626693.230900062;49.67054219704066;976;6904;11030;1652;-1992;179.67945840108987;0.0011397526430267462
pb1;1;Control4;winkellog;586632.2193749154;46.49538078583779;976;7032;11040;1652;-1988;179.67945839179544;7.3431902179732974e-06
pb1;1;Control5;euklid;4872324.761655916;239.6264575643494;2164;0;26963;0;-4169;874.0211714392939;0.7755597183720986
pb1;1;Control5;winkel;1047412.336512227;51.512926597758664;181;0;29101;0;-4444;178.6410812966879;0.008497083257990303
pb1;1;Control5;winkellog;1166214.6168225291;57.35575747909945;181;0;29261;0;-4444;178.6410812966879;1.3377250928592365e-06
pb1;1;Control6;euklid;2601987.845114337;189.01553429568042;988;18581;0;3424;0;548.9659410252248;0.314700706545121
pb1;1;Control6;winkel;733316.095320757;53.270092642797984;834;19410;245;3708;-28;177.9826259386485;6.7728523975057e-05
pb1;1;Control6;winkellog;653907.4941785209;47.50163403882906;398;19388;1113;3428;-412;176.13723979053032;7.4745384158366495e-06
pb1;1;Control7;euklid;1924509.3148042643;199.4310170781621;262;12227;511;1613;-108;548.3388940497102;1.2732741324343035
pb1;1;Control7;winkel;497214.1449757984;51.52478186277703;221;12717;531;1590;-108;179.72311789725512;0.001724385425448061
pb1;1;Control7;winkellog;495257.42625802965;51.322013083733644;172;12213;1267;1612;-252;179.72311789725512;0.00022303613669667497
pb1;1;Control8;euklid;2315353.632827687;173.33086037039132;369;10035;7616;1792;-1630;494.45041361494316;0.19624996757438165
pb1;1;Control8;winkel;626181.0194362049;46.87685427730236;429;17005;1871;2972;-289;179.81254527235274;0.0005897067170467811
pb1;1;Control8;winkellog;606581.5813687452;45.409610822634015;346;14473;4722;2972;-1389;179.55113471844462;4.3488349389258095e-08
pb1;2;Spot1;euklid;1272056.278737656;156.71507684337269;33;8707;1472;764;-250;475.0269840946294;0.8368877593541157
pb1;2;Spot1;winkel;274286.83248684835;33.791651162602975;46;6212;5541;847;-748;179.49445676166448;0.00020942877852899802
pb1;2;Spot1;winkellog;241245.2321497747;29.720984618673736;46;6222;5535;847;-748;179.49364351163834;1.801628127941576e-08
pb1;2;Spot2;euklid;1717773.4073340574;182.41195787767413;462;3419;9280;320;-2200;429.07670076277134;0.6514181704682949
pb1;2;Spot2;winkel;402208.2926443175;42.71087317025778;319;10815;2644;1212;-435;177.86937645667888;0.0004057015222961144
pb1;2;Spot2;winkellog;380366.9057029079;40.39151595018667;458;10392;2790;1212;-437;177.86937476580175;0.00010504804790975302
pb1;2;Spot3;euklid;2830221.724115797;193.18919618537862;591;3275;16662;101;-4859;440.8199822747853;0.1409930600462785
pb1;2;Spot3;winkel;960529.9943827735;65.56518732988215;623;15601;3958;3942;-573;179.97211264572212;0.009213886039892467
pb1;2;Spot3;winkellog;861579.2863190848;58.81087278628565;452;17691;3346;3940;-494;179.97211264572195;0.0002340697356343551
pb1;2;Spot4;euklid;2473246.982065622;179.44184735294365;110;15230;4990;4244;-764;530.574210958199;0.32450482617418447
pb1;2;Spot4;winkel;762569.3036750796;55.32680139846765;116;17334;3615;4482;-901;179.5823925123083;0.0009506902772612835
pb1;2;Spot4;winkellog;754332.9143778423;54.72922545003572;112;11479;10644;4244;-2427;179.91846731999618;2.72018503717298e-06
pb1;2;Spot5;euklid;3552031.939573626;221.31040121954055;1221;5653;13399;695;-767;631.4816421770807;0.5829154098117265
pb1;2;Spot5;winkel;856170.1857853227;53.34393680905437;1208;7001;15557;1676;-1500;179.87839604153456;0.0013373074453352468
pb1;2;Spot5;winkellog;1036337.5483652577;64.56931765515624;1202;3568;20831;698;-5624;179.87839604153456;7.543569142488714e-05
pb1;2;Spot6;euklid;2023691.0861415502;166.10778019712305;399;12050;4463;893;-764;461.69700190932116;0.3731422032394673
pb1;2;Spot6;winkel;722287.6128390076;59.28651504875709;624;8566;8356;1399;-927;178.81245874339822;2.991864554309662e-05
pb1;2;Spot6;winkellog;790918.0731112472;64.91981228853707;212;12116;6534;2554;-944;178.8124430146604;2.991864554271808e-05
pb1;2;Spot7;euklid;1866949.7047311256;200.38099224333214;625;978;12301;268;-2928;343.81646380692723;0.23700841827500954
pb1;2;Spot7;winkel;656418.2259977658;70.45381839623975;624;612;12591;134;-2940;177.6824110890507;0.01136583493275439
pb1;2;Spot7;winkellog;546309.715973523;58.63579649817785;170;610;13965;134;-3072;177.6818815774187;2.1845763054266964e-05
pb1;2;Spot8;euklid;2165147.131295746;181.047506588824;776;7644;9685;2278;-2781;540.7634779213822;0.12803438537033474
pb1;2;Spot8;winkel;607636.034902559;50.80993685948315;580;6075;12060;2277;-3324;179.9163556984312;0.003049007510081912
pb1;2;Spot8;winkellog;578785.918120724;48.39751802999616;576;8229;10249;2277;-3324;179.91635560699305;1.9377354956103374e-06
pb1;2;GL1;euklid;3439992.801180284;207.0289360363676;1028;6017;17441;934;-5674;538.286771252234;4.162157993702656
pb1;2;GL1;winkel;1161397.9631349468;69.89636273079843;42;17012;5620;3543;-656;179.90079140346208;0.0013797169677957357
pb1;2;GL1;winkellog;1113153.3537997631;66.99285952092941;42;17470;5620;3543;-656;179.58611647196872;5.4253672970744164e-05
pb1;2;GL2;euklid;1361521.0033777405;183.56761539405966;777;726;6855;65;-491;438.56105826118267;6.437928824224906
pb1;2;GL2;winkel;433176.9017623729;58.40324952977927;703;148;9309;64;-1180;179.94479830448316;0.007844718137463139
pb1;2;GL2;winkellog;319116.493799929;43.02500927597802;572;307;9596;64;-1475;179.94479830181498;0.0010586743683770033
pb1;2;GL3;euklid;2050000.0242864524;187.21461409008697;630;4555;8519;802;-909;493.9792508990105;1.7745853207128695
pb1;2;GL3;winkel;706755.5697305157;64.54388764662244;37;1369;14914;228;-4616;175.5509995856185;0.029499277945490992
pb1;2;GL3;winkellog;680157.4307714552;62.11483386040686;35;817;16258;228;-4616;178.494229032705;0.00015279059594160708
pb1;2;GL4;euklid;2659547.9189410615;244.9390236637559;336;479;13761;172;-3216;570.2278024330506;6.176891740162709
pb1;2;GL4;winkel;725315.3751863174;66.80008981270191;1160;479;13646;172;-3348;177.68847247671619;0.004712349792434594
pb1;2;GL4;winkellog;690195.4433611395;63.5656146031626;1160;479;13657;172;-3348;175.68189157999632;0.00010547818935625632
pb1;2;GL5;euklid;2437364.10744388;167.42437886;575;9411;9055;1722;-578;434.58464158433145;1.0235255851769425
pb1;2;GL5;winkel;944408.0761542806;64.87210304672898;748;17773;1523;3817;-288;179.6254424271069;0.013172228249270734
pb1;2;GL5;winkellog;739429.4200076511;50.79196455609638;911;1959;17550;249;-2012;171.4739835394973;3.222658573803593e-05
pb1;2;GL6;euklid;2575584.2986962674;244.13121314656564;1503;15466;0;6387;0;528.4713945841752;3.6863503851790553
pb1;2;GL6;winkel;919882.0579389789;87.19261212691742;1051;5367;7294;1404;-516;179.8068289958676;0.03850320729432605
pb1;2;GL6;winkellog;852983.5850442301;80.85152464874218;697;11308;3081;3796;-355;179.80682899584815;0.001964488282136102
pb1;2;GL7;euklid;2465960.8327357005;227.99194089642202;1037;5070;7006;825;-576;519.470910218104;8.561017233241435
pb1;2;GL7;winkel;748599.4659977122;69.21222873499558;1192;105;15183;1;-4002;179.01244399719482;0.0007146024216498154
pb1;2;GL7;winkellog;724497.4012230441;66.98385736159801;1031;105;15348;1;-4002;179.01244399719482;0.0002377612918403083
pb1;2;GL8;euklid;2006329.1309205543;164.23781359860465;656;4558;9548;119;-548;405.4814174110203;5.3086719321166855
pb1;2;GL8;winkel;667656.838953482;54.65429264517698;658;5568;10427;677;-1084;175.5998434360857;0.0259611195311167
pb1;2;GL8;winkellog;537008.0585691383;43.9594023059216;660;5221;10821;380;-1084;175.59984341655735;0.00014019449409340202
pb1;2;BGL1;euklid;3189207.333053036;268.7458779011575;152;2889;13048;125;-2787;508.9429995999953;4.0971857895777335
pb1;2;BGL1;winkel;803460.3933161019;67.7054346773491;211;3862;14417;1511;-3356;179.4907474183279;0.000923547912485401
pb1;2;BGL1;winkellog;754431.3625576405;63.57389083657542;211;3862;14605;1511;-3356;179.4907474183279;1.8116260036074678e-05
pb1;2;BGL2;euklid;2640501.8386855056;230.45050084530507;290;2073;11871;260;-1228;733.1477098062999;2.885405439902545
pb1;2;BGL2;winkel;815774.4870139003;71.19693550479144;38;2699;13581;540;-3124;176.4055718173719;0.0014324696062435753
pb1;2;BGL2;winkellog;948160.402318646;82.75095150276191;36;2531;13878;540;-3703;179.7755939667196;0.001432469606243566
pb1;2;BGL3;euklid;3974191.5379564003;267.64034870741466;534;0;18739;0;-3757;619.842917071516;3.151825474934049
pb1;2;BGL3;winkel;1083641.6806744242;72.9774180533655;358;9092;10140;1153;-1221;179.0592876131958;0.001700700173562838
pb1;2;BGL3;winkellog;1053224.192715619;70.92896442289845;461;8989;10140;1153;-1221;179.05928729567552;0.00010122381991897259
pb1;2;BGL4;euklid;2253476.0405633673;237.60818647863425;505;5017;8915;1422;-2878;478.0487034350343;9.0590696725574
pb1;2;BGL4;winkel;747004.7299035753;78.76473322475488;605;431;10683;110;-1455;179.69581627084926;0.0032445846328471918
pb1;2;BGL4;winkellog;692288.3743385227;72.99540007787037;133;9062;7324;3994;-2940;179.47235038155705;0.028840180188437425
pb1;2;BGL5;euklid;3200575.779762447;197.7739467195481;665;8654;11431;712;-1292;458.5747373321561;3.1412851045063506
pb1;2;BGL5;winkel;954676.390530191;58.99254715010758;80;11263;12962;721;-2089;177.4876317360783;0.00028337054717122713
pb1;2;BGL5;winkellog;926085.5165611117;57.22582441828534;80;9976;13744;682;-2089;179.9727875818184;0.00028337054717122713
pb1;2;BGL6;euklid;2938583.6210641097;237.3078915500371;1826;6257;7327;1020;-1020;537.6320605128302;3.2109551978396005
pb1;2;BGL6;winkel;795774.5714632496;64.26347181323182;1828;5413;11070;1020;-2574;178.82365652580194;0.007802443601760522
pb1;2;BGL6;winkellog;751070.2024943478;60.65333138127657;1416;5154;12145;1020;-2574;178.82365652575342;8.309740610200991e-05
pb1;2;BGL7;euklid;1957981.1094494364;198.11606895167827;614;6093;8292;2480;-1895;419.72527384056826;2.9116101521733015
pb1;2;BGL7;winkel;716089.94030345;72.45673786334615;873;838;13037;383;-2283;179.66745197067485;0.008051050226135356
pb1;2;BGL7;winkellog;640378.6275031882;64.79597566560642;614;5046;10289;1328;-2313;173.66496399670177;0.002814835768063518
pb1;2;BGL8;euklid;2561247.23094129;201.41925377015494;755;7721;8355;1906;-1689;447.1553565695444;3.3106780083033507
pb1;2;BGL8;winkel;917145.6886922885;72.12532940329416;357;5960;9539;403;-804;179.45062716127885;0.03475536444373049
pb1;2;BGL8;winkellog;957032.4734691235;75.26206931968571;756;10314;9965;4367;-3132;179.0138774122877;0.0014519559191009397
pb1;2;Control1;euklid;1891487.6803516787;200.85883830855673;609;10247;1449;2057;-292;534.7778589332828;0.44006257748825706
pb1;2;Control1;winkel;401541.26701025164;42.64004109697904;593;11250;1604;1885;-298;179.68987989190074;7.114040409789587e-05
pb1;2;Control1;winkellog;404521.9711973954;42.956564850525154;607;11116;1604;1885;-298;179.68987989190074;8.496461307276204e-07
pb1;2;Control2;euklid;1746473.9439658653;192.27941692897338;223;5204;5152;480;-352;482.8798716953644;1.0538745690976663
pb1;2;Control2;winkel;525072.1319247864;57.80822766979922;222;4824;8519;1092;-1454;179.63429023061533;0.0001616903932223604
pb1;2;Control2;winkellog;482514.5844260705;53.12282114126065;226;6244;6940;1092;-1076;179.63429023061533;8.90046112869182e-09
pb1;2;Control3;euklid;2594721.730586626;277.5103455172862;1135;4771;5173;570;-503;962.3689420040997;1.190886287816208
pb1;2;Control3;winkel;481510.8067379432;51.4984820040581;572;4402;6914;596;-556;178.07295991730118;0.0003138370193777727
pb1;2;Control3;winkellog;463654.9402118842;49.58876365902505;572;4340;7094;596;-556;179.02828802772794;1.991576213630903e-05
pb1;2;Control4;euklid;2667714.6107124668;211.4381081645769;767;1055;17049;142;-4268;565.2033910520495;1.4815147060906049
pb1;2;Control4;winkel;634324.3716090636;50.27537224451641;612;523;17377;44;-3024;179.68688730526162;0.0005976305751882755
pb1;2;Control4;winkellog;631104.9386734059;50.020205966030424;610;483;18698;44;-4346;179.64132676997758;4.758431196448411e-07
pb1;2;Control5;euklid;4815603.20020483;236.83682684330054;3706;0;22563;0;-3500;592.454592271746;5.744330678213038
pb1;2;Control5;winkel;1209559.9269220752;59.48752898844613;3713;1150;24681;401;-3493;179.97559132466878;0.00044385802490993863
pb1;2;Control5;winkellog;1145166.3284918747;56.320578787777244;3711;0;25852;0;-3493;179.97559132466878;9.841859735268966e-05
pb1;2;Control6;euklid;2842949.959372421;206.51968323205148;639;8184;9925;1116;-1837;712.3179096779477;0.300515044094372
pb1;2;Control6;winkel;674755.606377916;49.01609809515589;642;8652;10746;754;-1060;179.64952682469584;5.579004126790303e-05
pb1;2;Control6;winkellog;636940.3513121004;46.26909424030949;75;8680;11398;754;-1060;179.6483570441225;1.2833225281355864e-08
pb1;2;Control7;euklid;2622948.8056581803;271.80816638944873;648;4925;8599;1570;-2259;677.7952854762538;1.5633861518840684
pb1;2;Control7;winkel;602493.160084991;62.43452436113896;648;11104;3755;4140;-732;179.83068292565167;0.0018328645128214904
pb1;2;Control7;winkellog;483859.6461281088;50.14089597182475;241;9889;4532;3084;-732;179.76111490682348;0.0012820746274729133
pb1;2;Control8;euklid;2588943.0975229186;193.9283219118291;161;9582;8473;1227;-1352;499.0592827966142;0.22034828641631957
pb1;2;Control8;winkel;638233.3971340603;47.807745103674925;236;8132;9829;1224;-1388;179.1348088632212;0.001236512446029886
pb1;2;Control8;winkellog;605921.3342787843;45.387365863579355;183;6219;12384;1224;-1388;179.77044651827683;1.1057943304461848e-05
pb2;1;Spot1;euklid;3581830.9091147827;220.65119873805105;1245;10938;7112;348;-573;610.8875033721962;0.2141851903465124
pb2;1;Spot1;winkel;956717.2102770051;58.93656195878797;503;2637;19262;346;-3851;179.6328437558219;0.0003523138098298345
pb2;1;Spot1;winkellog;887379.1695103607;54.665137036306334;269;2887;19653;346;-3851;179.6328437558219;1.1453159640371407e-06
pb2;1;Spot2;euklid;3902966.422516919;207.24082315706045;1020;20162;4400;1836;-1815;597.4527264516171;0.4284035230816576
pb2;1;Spot2;winkel;1015215.1815400652;53.90618497000293;1536;22607;3709;4500;-728;179.30801905107975;0.00025766571800832204
pb2;1;Spot2;winkellog;893905.2091640647;47.46483349249003;766;23267;3709;4516;-728;179.30801905107975;2.0089953778981077e-05
pb2;1;Spot3;euklid;4976066.892094008;169.83743104181056;1203;21349;16352;1406;-1963;499.95015521060645;0.6163938858488388
pb2;1;Spot3;winkel;1172740.3277700348;40.02663325608501;1214;27718;10758;1916;-1912;179.40885899259337;9.458024146630262e-05
pb2;1;Spot3;winkellog;1098322.0581977267;37.48667388640318;1211;20902;19729;3836;-3197;179.87248990718123;2.255607813699005e-06
pb2;1;Spot4;euklid;7030521.202197797;255.04321273299706;240;27944;13128;8220;-2786;576.5385914332011;0.09109525005219128
pb2;1;Spot4;winkel;1511068.409988291;54.81638286252235;245;27828;13471;5689;-2168;179.84038498502048;1.1737447080919157e-05
pb2;1;Spot4;winkellog;1807281.7737175385;65.56198845380318;249;25846;16709;7166;-4290;179.8403849850201;1.296408302093681e-07
pb2;1;Spot5;euklid;9378132.59709895;292.16276510479923;1645;31601;5615;2033;-941;1281.6936412605219;1.0782556839390451
pb2;1;Spot5;winkel;2231057.577822045;69.50551661491153;1135;25128;17621;842;-2020;179.97760428671347;0.0007845185689768207
pb2;1;Spot5;winkellog;2041589.6733396412;63.60290580203873;1058;25185;17591;842;-2020;179.97760428671347;0.0011245304170005395
pb2;1;Spot6;euklid;4625164.934358764;189.82044382987624;229;14367;19087;1285;-2163;615.0430115593557;0.8749441073463448
pb2;1;Spot6;winkel;1210361.2283125336;49.67418650219706;234;8948;27158;1101;-6236;179.96744316440373;0.0019450177947120608
pb2;1;Spot6;winkellog;1320220.9246098069;54.18291572723495;234;8966;27801;1098;-6236;179.75494397944618;7.371115791437076e-05
pb2;1;Spot7;euklid;3412164.303558506;183.12479491002554;849;11507;11036;890;-512;553.9657195211004;0.6583116114873001
pb2;1;Spot7;winkel;1077191.2537660934;57.81094046938729;1094;11636;11108;979;-601;176.17820070091165;0.001356263173149055
pb2;1;Spot7;winkellog;908460.7385689764;48.75547354526788;845;4299;21448;509;-4451;179.96752018594253;4.759536526439066e-06
pb2;1;Spot8;euklid;4119344.6837590775;172.3647300623071;1526;17036;12687;962;-791;636.8909211325417;0.18833228835543775
pb2;1;Spot8;winkel;1390378.329564179;58.177259699743885;717;19648;15744;3748;-3767;179.52036344587228;0.0007735274046584848
pb2;1;Spot8;winkellog;1183077.5779045625;49.50322515187089;635;19644;16413;3748;-3767;179.52036344587228;2.5428846642445436e-05
pb2;1;GL1;euklid;5238393.164720986;157.63099316083853;561;32083;8731;1692;-855;620.0321614779101;2.2566089781636998
pb2;1;GL1;winkel;1503049.2604946375;45.22897389548139;495;11097;34284;638;-5892;178.16071105942166;0.004698300008607493
pb2;1;GL1;winkellog;1218343.375398313;36.66175299104216;499;32248;13586;2556;-964;179.71736376050498;2.0080348926509645e-05
pb2;1;GL2;euklid;2015942.4951630624;135.90928977031365;258;10385;8352;422;-1447;542.2265480552182;0.9205890454826723
