Proband;pb1;pb1_2;pb2;pb3;pb3_2;pb4;pb5;pb5_2;pb7;pb7_2;pb8
min distane;3.9442188877189284;3.6863503851790553;3.43678168460102;0.7353718057769264;11.305792265918775;1.2829371721960565;1.976086100947657;4.263091370378869;4.251098184751031;4.001623164925423;2.767656711594326
Alias_Distance;GL6_winkel;GL6_winkel;GL6_winkel;GL6_winkel;GL6_winkel;GL6_winkel;GL6_winkel;GL6_winkel;GL6_winkel;GL6_winkel;GL6_winkel
distance;569845.2298750494;919882.0579389789;1667213.4104380605;453555.2228237153;922444.395654565;666485.0452657803;581621.9865660855;306886.8681234181;720355.3726009845;603551.3030380758;1065074.7903785969
mean_distance;54.013765864933596;87.19261212691742;79.01485357526353;42.991016381394815;87.43548773976919;31.58846605364142;55.1300461200081;29.08880266572684;68.28013010435872;57.16530621690432;50.479870627925344
zero-overhead-counter;947;1051;1103;973;720;1047;636;747;592;669;166
ref before query (rbq);10334;5367;3364;9274;404;9259;1855;4049;1568;1992;17229
query berfore ref (qbr);4166;7294;30169;3449;14997;17221;11974;8827;14369;10461;9684
max rbq;1804;1404;380;1134;60;588;102;156;484;252;2253
max qbr;-1489;-516;-9700;-235;-3364;-1043;-1695;-972;-5034;-1848;-1212
max distance;179.34739388434107;179.8068289958676;179.87187581645352;179.8495644500151;174.89421518667388;152.36344074374574;179.3313846149732;179.08009438966556;176.07920057839144;176.5540260497251;177.64212157297038
min distane;0.03624681941204548;0.03850320729432605;0.008273367172803482;0.028547064419378418;0.04602695390852064;0.003653080441479198;0.0009946419007683855;0.03648140192439903;0.0004255785447100764;0.43665437599789536;0.018193864794834032
Alias_Distance;GL6_winkellog;GL6_winkellog;GL6_winkellog;GL6_winkellog;GL6_winkellog;GL6_winkellog;GL6_winkellog;GL6_winkellog;GL6_winkellog;GL6_winkellog;GL6_winkellog
distance;636927.334404898;852983.5850442301;1613315.3010787023;351632.0223904223;836139.0065323992;705867.7978462876;408265.632385492;291992.67788288335;646389.1143702902;535598.0736739906;1006699.1712668298
mean_distance;60.37225918529839;80.85152464874218;76.46044080941718;33.33004951567984;79.25488213577243;33.455035681609914;38.698164207155635;27.67703107894629;61.26911036685215;50.72912234078334;47.71312248290582
zero-overhead-counter;443;697;1103;475;461;1047;636;488;592;671;162
ref before query (rbq);13815;11308;3364;6554;552;13150;6605;4049;1568;1351;11231
query berfore ref (qbr);3335;3081;30356;6683;14651;14858;6707;9097;14345;11687;21381
max rbq;4927;3796;380;212;66;1700;677;156;484;252;2340
max qbr;-824;-355;-9700;-1019;-2646;-1041;-1091;-972;-5034;-1597;-8034
max distance;179.34739388434107;179.80682899584815;179.8717544480091;167.69450481039667;176.0837692568741;174.12564672704067;174.9146843644578;179.08008958211607;175.93794751285142;176.55402598644844;179.80351368576828
min distane;0.003987612193563516;0.001964488282136102;0.007903036058252724;0.00633111275438032;0.004115291041243513;0.005808126481702477;0.0009946390485704316;0.000844975563179582;0.0004255785447100764;0.003631282155341317;7.163323864134926e-05
Alias_Distance;GL7_euklid;GL7_euklid;GL7_euklid;GL7_euklid;GL7_euklid;GL7_euklid;GL7_euklid;GL7_euklid;GL7_euklid;GL7_euklid;GL7_euklid
distance;2440772.3895598557;2465960.8327357005;4761804.63096276;1887651.0457963264;1602553.9744098065;3197978.047884531;1419221.3598197869;1582966.0685840636;1883435.80970728;1782280.5335323722;4028674.386728629
mean_distance;225.64226583709493;227.99194089642202;220.1176272806712;174.52395024004497;148.04193758982046;147.82868986661725;131.21499258688857;146.3405813611966;174.13422796849852;164.7666204615302;186.23679672377168
zero-overhead-counter;561;1037;480;678;579;719;390;538;207;605;206
ref before query (rbq);3573;5070;23553;7390;4715;11162;9919;9519;4407;5083;22647
query berfore ref (qbr);9891;7006;4004;5001;8397;13749;2774;3478;9802;8017;5593
max rbq;337;825;1814;291;279;555;862;810;208;1018;3062
max qbr;-1297;-576;-871;-587;-587;-804;-210;-356;-2003;-439;-434
max distance;586.7673136080859;519.470910218104;1046.385686506516;542.6424856363875;550.0138152477234;633.3617691202247;534.316862404366;533.0388136496174;554.4900662767136;445.436851071982;523.3866106485424
min distane;7.32883682624562;8.561017233241435;2.0264089073034395;1.5723148572217742;2.785383539019927;0.702037840907831;2.0229641566406507;0.17074002311904654;0.6103245157785612;3.019468311380518;1.4262950326965587
Alias_Distance;GL7_winkel;GL7_winkel;GL7_winkel;GL7_winkel;GL7_winkel;GL7_winkel;GL7_winkel;GL7_winkel;GL7_winkel;GL7_winkel;GL7_winkel
distance;599513.0408908527;748599.4659977122;991386.0163208828;523837.7608233677;401618.03059799504;811621.51829589;339131.677069194;384031.4943148154;481536.1168209429;511675.9849473979;994419.5728071033
mean_distance;55.423226485241074;69.21222873499558;45.82748654004913;48.43174563825515;37.10097280350993;37.51775150445569;31.354629906545302;35.50258799249472;44.52072085992445;47.302947670093175;45.96983971926328
zero-overhead-counter;381;1192;1579;766;157;1415;398;442;731;114;125
ref before query (rbq);636;105;15439;4878;4018;6837;10495;11528;4941;1152;6901
query berfore ref (qbr);15254;15183;11324;9353;11186;19470;2945;2107;9808;12968;22787
max rbq;183;1;991;261;334;434;860;1204;361;283;1404
max qbr;-3531;-4002;-980;-1546;-836;-1857;-215;-359;-2013;-2140;-3847
max distance;179.86649170931838;179.01244399719482;177.3144833441366;177.99550990953048;145.1605405383016;174.05494816719246;164.24340096579368;172.9517952364685;176.16396468118202;176.69963608104482;176.04822863964617
min distane;0.031184149620054107;0.0007146024216498154;0.017830228646120876;0.0023962557863241806;0.004522755230653297;0.011101435350396082;0.015183398806412281;0.00801773454266205;0.025496333023084003;0.01663332525185428;0.010275646849875104
Alias_Distance;GL7_winkellog;GL7_winkellog;GL7_winkellog;GL7_winkellog;GL7_winkellog;GL7_winkellog;GL7_winkellog;GL7_winkellog;GL7_winkellog;GL7_winkellog;GL7_winkellog
distance;586199.7727196908;724497.4012230441;1004933.9163064563;507447.95511315257;386943.36995110015;716588.7078683907;289008.0203737042;355081.0709638752;446942.46491787996;395219.05235533393;867583.4375148327
mean_distance;54.192453796772746;66.98385736159801;46.45374734463349;46.91641596830183;35.745345953912256;33.12479581511537;26.720416084846914;32.82620606118843;41.32234328012943;36.5368449991064;40.106482873281834
zero-overhead-counter;189;1031;484;766;603;1236;398;442;210;291;214
ref before query (rbq);829;105;19460;4878;3072;9867;10514;11503;6201;1215;20498
query berfore ref (qbr);15254;15348;9486;9353;11349;17269;2945;2190;9522;12538;8658
max rbq;184;1;1274;261;303;434;860;1204;542;138;2716
max qbr;-3531;-4002;-836;-1546;-836;-1857;-215;-359;-2013;-961;-604
max distance;179.86649170931835;179.01244399719482;177.3144814587543;177.99550990953048;163.26488313626064;174.05494816719147;162.6833797057257;172.9517952364685;176.16396468118202;158.96982384313063;178.58121092681694
min distane;0.00016985999506570032;0.0002377612918403083;1.9408423583303373e-05;2.193743127935612e-05;0.00031299428906387313;1.8785296930329192e-05;6.569980517794191e-06;3.6815537014061353e-07;6.716336567384177e-05;8.443536194597018e-05;0.0003919517980515073
Alias_Distance;GL8_euklid;GL8_euklid;GL8_euklid;GL8_euklid;GL8_euklid;GL8_euklid;GL8_euklid;GL8_euklid;GL8_euklid;GL8_euklid;GL8_euklid
distance;2141420.1269027973;2006329.1309205543;3647803.443627964;1785830.1557873772;2137012.9638441624;2343144.8254118674;1197934.8934231012;1122188.999072247;1550630.9272032108;1583404.5520655923;2874176.965504014
mean_distance;175.2963430666992;164.23781359860465;149.2982214066207;146.17583332957167;174.93557333367406;95.90082369794406;98.05475103733332;91.85471057315601;126.93442429626808;129.6172685056968;117.6350413581637
zero-overhead-counter;459;656;1376;697;380;1164;762;533;623;620;953
ref before query (rbq);12311;4558;24092;8691;5339;12258;7286;9199;10652;10915;21209
query berfore ref (qbr);5541;9548;3475;5779;8866;16873;6336;4703;3689;5130;8111
max rbq;2348;119;516;657;156;604;262;256;1381;1256;1532
max qbr;-1348;-548;-366;-413;-483;-1936;-394;-328;-308;-1379;-428
max distance;494.1773449629096;405.4814174110203;557.3915979903492;491.13467722874464;682.7985565419184;414.2721487688361;440.2177898098152;684.3168906517759;324.51256768875686;427.94174838291;480.5660787088906
min distane;10.369156941774838;5.3086719321166855;1.8981282825537902;0.24681880217857688;1.4238280893260382;0.3295393442328486;2.7605387141106728;0.4578177323651898;2.3141417279087233;1.388181862908585;2.4015948511805916
Alias_Distance;GL8_winkel;GL8_winkel;GL8_winkel;GL8_winkel;GL8_winkel;GL8_winkel;GL8_winkel;GL8_winkel;GL8_winkel;GL8_winkel;GL8_winkel
distance;756285.0239237924;667656.838953482;1268362.2250022816;438288.87099167734;700732.313088361;822121.9040637662;428851.1076121096;374637.73478749144;416672.1252335471;439247.7713440584;1256909.9413186926
mean_distance;61.90938309788739;54.65429264517698;51.91184975247745;35.875327084527896;57.36184619256394;33.648013099650726;35.102816371622296;30.66528073892866;34.10872014027072;35.95675927832829;51.44312779104869
zero-overhead-counter;778;658;1503;172;860;1293;316;547;688;871;1051
ref before query (rbq);10444;5568;21625;10633;8715;13281;9057;10223;13237;10157;31158
query berfore ref (qbr);7602;10427;9918;5579;6225;17859;6378;5327;2507;6324;1820
max rbq;2809;677;2904;641;745;597;339;427;1676;1333;7413
max qbr;-2160;-1084;-2820;-414;-926;-1897;-259;-377;-357;-1436;-172
max distance;172.53744295310725;175.5998434360857;179.25853484423754;179.9358994278936;176.39567685064839;173.93139492494862;170.75804918440144;158.44592276319779;171.78273922281463;168.84708146541396;179.47303079326232
min distane;0.015592177462751829;0.0259611195311167;0.010198895860964542;0.02937401771623721;0.05119284853143295;0.002624540044235609;0.031223736386539032;0.004611569815963337;0.006121422072602668;0.003722771781140444;0.05438823083016244
Alias_Distance;GL8_winkellog;GL8_winkellog;GL8_winkellog;GL8_winkellog;GL8_winkellog;GL8_winkellog;GL8_winkellog;GL8_winkellog;GL8_winkellog;GL8_winkellog;GL8_winkellog
distance;585586.5487135384;537008.0585691383;881205.1401626165;385400.84660709416;643915.173055564;656432.4996149859;315863.9865696432;259024.90910151863;356954.8415782728;575897.2036930218;657135.9297743781
mean_distance;47.93603051027656;43.9594023059216;36.06618672134476;31.54627540370747;52.710803295314676;26.866635272581586;25.854463990312123;21.202006147296277;29.22027190391886;47.142862122873424;26.895425439953264
zero-overhead-counter;180;660;1309;238;864;1171;780;547;627;604;967
ref before query (rbq);11032;5221;29282;10739;10279;17760;7729;9847;12936;17457;24373
query berfore ref (qbr);7760;10821;1880;5491;5253;14201;6840;5558;2798;198;7116
max rbq;2809;380;2300;641;1366;1399;339;324;1603;3786;2724
max qbr;-2160;-1084;-212;-414;-541;-1896;-292;-377;-357;-50;-791
max distance;172.53744155235194;175.59984341655735;177.97565342164424;179.93072180988858;173.48383081063898;173.93139492485662;170.17867687673322;165.77196842725533;153.5216771075535;176.44734590731605;179.47303079309413
min distane;0.0001565916769103816;0.00014019449409340202;0.0001685485703199996;1.3754909754777274e-06;1.2055306115399756e-05;5.668416498040474e-05;1.9522419525144703e-06;2.150035749617053e-05;0.0005998077927503899;0.0013273080952491505;6.258097870453754e-05
Alias_Distance;BGL1_euklid;BGL1_euklid;BGL1_euklid;BGL1_euklid;BGL1_euklid;BGL1_euklid;BGL1_euklid;BGL1_euklid;BGL1_euklid;BGL1_euklid;BGL1_euklid
distance;2591657.7250187406;3189207.333053036;6590495.468692479;2897244.714611347;2614313.012003676;2969534.8859169683;2495307.1069877297;1798531.1731258463;2478663.627676512;1743130.468860602;3972573.3764179926
mean_distance;218.3919882884251;268.7458779011575;251.22919485733536;244.1635525544705;220.15267469504641;125.12260927472163;210.27278225227352;151.57013088874484;208.7295686464431;146.88889094637247;167.38606060835093
zero-overhead-counter;212;152;1062;1012;1036;267;288;576;258;546;1139
ref before query (rbq);13810;2889;26356;471;5348;23428;495;7550;3999;10241;2425
query berfore ref (qbr);2507;13048;10519;14551;8049;5207;15596;7290;12057;2993;25997
max rbq;3031;125;6241;81;925;1521;81;428;314;171;191
max qbr;-295;-2787;-2302;-3198;-464;-381;-2860;-1058;-2994;-166;-1832
max distance;535.3566035484238;508.9429995999953;648.5295264851401;529.3981199721042;522.4823932455606;460.5189098566132;558.9104253310252;504.68313865618757;471.9376776816549;624.2497703545596;530.8085457024029
min distane;1.2883448707527647;4.0971857895777335;2.1052633508811236;1.8582886197903767;1.0549981936036563;2.770070901860204;2.237438610040267;2.389097752309648;3.7190881839290744;0.8849661857116059;0.9275792599536615
Alias_Distance;BGL1_winkel;BGL1_winkel;BGL1_winkel;BGL1_winkel;BGL1_winkel;BGL1_winkel;BGL1_winkel;BGL1_winkel;BGL1_winkel;BGL1_winkel;BGL1_winkel
distance;764665.3054379177;803460.3933161019;1270871.743588756;758627.6793790393;596978.8462226118;543455.9701763362;361886.89927437576;378806.3610584883;392841.96897125704;415997.39162256976;893744.0869498672
mean_distance;64.43627752910741;67.7054346773491;48.445535912352995;63.93289055950104;50.27190283979889;22.89874732129677;30.49523040990779;31.92367782390766;33.081428966000594;35.05497527787729;37.65828538110931
zero-overhead-counter;209;211;683;544;599;271;740;579;776;552;1143
ref before query (rbq);0;3862;9368;815;6858;22444;9753;8178;6312;10276;5567
query berfore ref (qbr);18456;14417;28280;16267;8380;9352;6096;7781;9627;4165;24634
max rbq;0;1511;552;96;981;691;780;530;187;317;327
max qbr;-5604;-3356;-2794;-3814;-769;-2108;-750;-1063;-1180;-196;-2108
max distance;179.25432569605255;179.4907474183279;179.72083644848135;174.90213507740603;167.765909783638;179.76925997867752;162.06289034757333;177.2994408378651;178.82543470773726;177.56868440110787;179.20573195854286
min distane;0.0012173120696400185;0.000923547912485401;0.009424380395104423;0.027107861611567884;0.05612628053470667;0.014413758262770861;0.0014094825499522314;0.005213783784518665;0.006517026720334007;0.0003424579644956266;0.03416431603292844
Alias_Distance;BGL1_winkellog;BGL1_winkellog;BGL1_winkellog;BGL1_winkellog;BGL1_winkellog;BGL1_winkellog;BGL1_winkellog;BGL1_winkellog;BGL1_winkellog;BGL1_winkellog;BGL1_winkellog
distance;777545.4570799415;754431.3625576405;1236743.0102096053;580773.4042221258;577624.5311460303;592448.705870246;558058.5748759977;358984.9708369401;529942.6586511815;373641.1802034421;800188.7774243323
mean_distance;65.52165307827939;63.57389083657542;47.14455114586991;48.944328688869525;48.64206578071834;24.96307697595104;47.02608703766729;30.253242106602066;44.62675020220476;31.48573187860808;33.71629281693559
zero-overhead-counter;209;211;1257;520;599;269;361;213;288;395;23
ref before query (rbq);0;3862;25845;14039;6858;22612;178;7538;1146;10973;6946
query berfore ref (qbr);19450;14605;12467;2154;8415;7978;15708;9103;16125;4183;24671
max rbq;0;1511;4092;3396;981;691;80;530;172;603;387
max qbr;-6484;-3356;-2321;-245;-769;-2108;-2880;-1063;-2468;-196;-2108
max distance;178.12214703278914;179.4907474183279;179.71540504522264;173.12905617299816;167.765909783638;176.49815949458022;177.8352767608962;177.2994408378651;178.82543470773726;178.69233170547702;179.20573195854286
min distane;0.0004692606451014291;1.8116260036074678e-05;0.0011278757390058465;0.005808487292497272;0.05612628053470667;4.216202304374612e-05;0.0001509635569908401;0.00015389642009055332;6.361765590952806e-05;0.0003424579644956266;0.0008507566730102769
Alias_Distance;BGL2_euklid;BGL2_euklid;BGL2_euklid;BGL2_euklid;BGL2_euklid;BGL2_euklid;BGL2_euklid;BGL2_euklid;BGL2_euklid;BGL2_euklid;BGL2_euklid
distance;1985448.522536449;2640501.8386855056;3802334.047595221;1747273.191395113;2246973.3059986145;2292617.834784176;1241073.9218544932;1825924.507809489;1382542.734001654;1810668.4484787444;3784007.8789297007
mean_distance;173.40161768877283;230.45050084530507;166.0407881045948;152.600278724464;196.24221013088336;100.11868792454588;108.31505689077441;159.46938932833964;120.74609030582131;158.13698239989034;165.24773478884234
zero-overhead-counter;441;290;343;144;748;322;212;185;330;251;545
ref before query (rbq);5086;2073;20959;12006;0;21252;12821;11160;9774;5688;10385
query berfore ref (qbr);8709;11871;5006;1194;14528;7139;354;2496;4266;10198;19395
max rbq;488;260;493;518;0;892;453;700;391;838;1260
max qbr;-1004;-1228;-663;-148;-1954;-1208;-118;-279;-316;-3046;-1900
max distance;498.3266504441301;733.1477098062999;682.3715022718493;475.3102582910898;456.3045986794897;448.7323937134888;455.6286137437278;612.2297817733632;494.9509763289175;491.250233706831;496.42139620641615
min distane;2.2359278027074168;2.885405439902545;1.429252219219679;0.40127847984319914;3.2806966003775906;0.34249756149209304;0.9067714099236373;2.905558128336934;1.2293087790280346;2.932872781732075;1.995153375688632
Alias_Distance;BGL2_winkel;BGL2_winkel;BGL2_winkel;BGL2_winkel;BGL2_winkel;BGL2_winkel;BGL2_winkel;BGL2_winkel;BGL2_winkel;BGL2_winkel;BGL2_winkel
distance;666472.4464176297;815774.4870139003;1072699.658766066;407798.9643049471;748290.6454321536;455172.5884352071;267001.4659474473;383459.2995550586;319020.50771765184;473277.88276516146;1027465.4873826467
mean_distance;58.20720056049168;71.19693550479144;46.842779858780176;35.61563007030106;65.352894797568;19.877400254823666;23.302624013566703;33.48989515764704;27.862053075777453;41.33431290525427;44.86944789653027
zero-overhead-counter;1032;38;450;248;268;284;239;156;224;259;401
ref before query (rbq);1564;2699;20233;12692;0;25488;12502;12798;9363;7120;2909
query berfore ref (qbr);13047;13581;12060;1246;15418;3814;1675;2704;5874;8961;31091
max rbq;144;540;1703;546;0;1614;453;705;455;842;1254
max qbr;-2835;-3124;-1551;-268;-2932;-512;-493;-406;-460;-1532;-6620
max distance;178.1241419609229;176.4055718173719;174.46309319765942;175.15213204373111;179.53439871198776;170.8808451247497;176.79460512177957;179.45509551161112;173.31950756171665;169.07382370471046;178.49396259426135
min distane;0.004806283386962764;0.0014324696062435753;0.002750860013399075;0.00018100001300541316;0.02818459934315431;0.0010108128320853538;0.006710590149687038;0.039985838793687944;0.0014106575671827752;0.019958076809364157;0.001145559678346956
Alias_Distance;BGL2_winkellog;BGL2_winkellog;BGL2_winkellog;BGL2_winkellog;BGL2_winkellog;BGL2_winkellog;BGL2_winkellog;BGL2_winkellog;BGL2_winkellog;BGL2_winkellog;BGL2_winkellog
distance;642005.0581951003;948160.402318646;1059919.0308616934;368918.8023224584;670402.65541284;397084.5401839556;238061.01344221545;365155.64077055786;299152.72613996244;412877.84913900663;1207388.163548777
mean_distance;56.0703107593974;82.75095150276191;46.284673836755175;32.21998273558589;58.5504502543965;17.34069348809798;20.776838317526224;31.891322338039988;26.126875645411566;36.059200798166515;52.726676429048304
zero-overhead-counter;355;36;343;154;202;234;139;103;290;257;493
ref before query (rbq);37;2531;24103;13078;5489;25589;12580;13183;9504;5872;2909
query berfore ref (qbr);17593;13878;7659;1564;9819;3814;1775;2540;5337;10710;32585
max rbq;7;540;1703;632;965;1614;453;705;455;842;1254
max qbr;-5052;-3703;-1551;-268;-1652;-512;-493;-406;-460;-3132;-8391
max distance;178.12414180107194;179.7755939667196;174.1448112011024;179.55364006237562;179.93507288483568;160.799849444651;176.79460496312174;179.45509551161112;173.31950756171665;163.92042929738315;179.60118041952765
min distane;0.002739785014133643;0.001432469606243566;5.6875391943621466e-05;1.3799831359397761e-05;1.340364768097633e-05;1.5002910688811333e-06;0.00043101892282898594;0.000832175271232227;0.00014515055895284704;1.7573359741053033e-05;6.0638095580497955e-05
Alias_Distance;BGL3_euklid;BGL3_euklid;BGL3_euklid;BGL3_euklid;BGL3_euklid;BGL3_euklid;BGL3_euklid;BGL3_euklid;BGL3_euklid;BGL3_euklid;BGL3_euklid
distance;3689351.4768555826;3974191.5379564003;4365704.308702478;2668142.183758449;3627650.13453837;5911831.547908012;2431249.9035885157;1979276.710900614;2400152.575432101;1983764.292845288;5533145.34471865
mean_distance;248.44117689263183;267.64034870741466;146.9983605071712;179.67287432716827;244.2862043460182;199.00466381351237;163.7205322281829;133.29360299687616;161.62643605603373;133.58682106702275;186.30746303642042
zero-overhead-counter;866;534;1754;481;542;1360;963;641;1011;1091;1040
ref before query (rbq);2139;0;32442;5645;7782;34166;15517;15622;15539;14224;15689
query berfore ref (qbr);17116;18739;3375;11343;7544;1710;1426;1907;2487;2934;21589
max rbq;632;0;779;265;284;5828;646;464;1312;238;1513
max qbr;-1659;-3757;-544;-1145;-396;-412;-141;-85;-508;-294;-3684
max distance;563.0808045417523;619.842917071516;573.3090624909073;519.3975809097761;765.6209534145643;562.5041718985033;702.7626091118234;435.26512076759855;488.43628962311544;576.7968665082576;732.1455271547677
min distane;8.829114439830958;3.151825474934049;0.5073966448920623;1.8922829915339665;2.2260349039812177;0.20482834439217967;0.968707278998816;0.35856121585742046;2.4981914523083004;2.885069979417825;0.6246372079101891
Alias_Distance;BGL3_winkel;BGL3_winkel;BGL3_winkel;BGL3_winkel;BGL3_winkel;BGL3_winkel;BGL3_winkel;BGL3_winkel;BGL3_winkel;BGL3_winkel;BGL3_winkel
distance;911164.1140476546;1083641.6806744242;957650.3193141888;603292.9805566611;1041203.0159682827;1554929.1932208845;593858.0028216554;426564.58285650396;614662.2465619872;401572.328423422;1195519.9138442706
mean_distance;61.357852797821856;72.9774180533655;32.24520419253809;40.6257899364755;70.11468120998536;52.342181749112484;39.99043790044817;28.726822200586163;41.39139707488129;27.041907637940877;40.254551124424076
zero-overhead-counter;271;358;214;479;141;74;39;545;229;653;1046
ref before query (rbq);0;9092;31068;4767;18706;33645;17725;15247;15154;14457;26298
query berfore ref (qbr);19999;10140;9145;14263;0;5227;1380;3816;4353;4298;13136
max rbq;0;1153;828;255;2991;5882;1323;349;1287;265;2140
max qbr;-1674;-1221;-1075;-1458;0;-907;-114;-612;-512;-300;-2046
max distance;178.92108451853818;179.0592876131958;174.93279724829557;174.0272826877619;176.78347432829491;176.45480998027188;179.87335948178918;168.4994351420361;170.55933960533073;179.1559680510682;177.39083495355308
min distane;0.005475145886106124;0.001700700173562838;0.0058588727119917566;0.013735693540526499;0.05273501069270192;0.02739259279639217;0.005097419860454623;0.005778517528617801;0.009135016001409861;0.00660664733285129;0.01595415436720022
Alias_Distance;BGL3_winkellog;BGL3_winkellog;BGL3_winkellog;BGL3_winkellog;BGL3_winkellog;BGL3_winkellog;BGL3_winkellog;BGL3_winkellog;BGL3_winkellog;BGL3_winkellog;BGL3_winkellog
distance;823823.6106646266;1053224.192715619;914800.4690081225;536663.5005256444;1034932.1383589775;1571326.3383243883;568936.3344881278;357448.4713487524;576686.4463834758;378597.01081903215;1065452.1798773357
mean_distance;55.47633741849337;70.92896442289845;30.802399710701454;36.138956264353155;69.69239988949343;52.894144084706916;38.3122110766416;24.07222515649218;38.83410413356739;25.49474820330183;35.87501868336764
zero-overhead-counter;863;461;252;480;535;210;146;54;807;941;1046
ref before query (rbq);731;8989;31278;11223;16352;36327;18218;15657;15911;13851;26945
query berfore ref (qbr);18468;10140;9232;8421;928;2884;737;4484;2725;4447;12949
max rbq;39;1153;828;1296;2066;5888;1323;459;1287;255;2172
max qbr;-1678;-1221;-1075;-956;-351;-765;-72;-631;-461;-300;-2046
max distance;178.81392987984103;179.05928729567552;174.93279724829557;174.02728268761382;166.04034701662147;174.2481652237813;179.87249786807547;163.68214990583604;170.5585226068245;179.1552733900564;179.72967898912418
min distane;7.802735310655004e-05;0.00010122381991897259;1.4603567849137126e-05;6.444008527406405e-06;4.2333542119234374e-05;0.00011742303246816522;0.00011412673356950104;9.469996099342263e-06;5.7712774193800836e-05;2.652916620646076e-05;0.00021453955782011576
Alias_Distance;BGL4_euklid;BGL4_euklid;BGL4_euklid;BGL4_euklid;BGL4_euklid;BGL4_euklid;BGL4_euklid;BGL4_euklid;BGL4_euklid;BGL4_euklid;BGL4_euklid
distance;1851576.886246027;2253476.0405633673;3652861.7790679866;1780876.0879600812;1822263.3072080084;2683625.2644672045;1903835.464658626;1534960.6789608898;1569699.9685893124;1639107.185001888;3502245.569960783
mean_distance;195.23164131653596;237.60818647863425;192.60053670083238;187.7966980871118;192.1407957832147;141.49663948472025;158.87803260107034;161.84739339528574;165.5277832531174;172.84690340629422;184.65915691030173
zero-overhead-counter;856;505;1186;1147;566;638;683;310;162;183;775
ref before query (rbq);5616;5017;9011;3332;0;19535;10689;5726;12254;6315;11960
query berfore ref (qbr);6701;8915;13700;6805;10132;4017;3778;6065;0;5755;11550
max rbq;2060;1422;375;244;0;3806;1274;431;1209;1438;988
max qbr;-1084;-2878;-1482;-1252;-1080;-268;-256;-1124;0;-328;-1146
max distance;543.3386619220121;478.0487034350343;596.743902032557;579.3454137457937;494.9841603193375;492.9166388124574;510.70955374236917;536.394270926555;433.67044338493463;492.5090382766715;551.33261096034
min distane;4.585340616922366;9.0590696725574;1.429791268949104;5.612671003495637;11.395222318431987;3.439160629347244;5.846483587121211;0.42902424573798653;1.2388758384349934;2.864952920354099;5.0486963845497455
Alias_Distance;BGL4_winkel;BGL4_winkel;BGL4_winkel;BGL4_winkel;BGL4_winkel;BGL4_winkel;BGL4_winkel;BGL4_winkel;BGL4_winkel;BGL4_winkel;BGL4_winkel
distance;538334.3995598212;747004.7299035753;917808.8776675059;491131.9463007939;500052.81936092366;779936.4878365132;734878.3086006257;413431.48287399765;508240.07359814516;541459.996748365;1040598.7585168603
mean_distance;56.76237869673358;78.76473322475488;48.39232719959432;51.79077784464768;52.72594046403666;41.12287713996168;61.32673859639704;43.59252244559233;53.594861710233594;57.09796443618739;54.86653793719605
zero-overhead-counter;1408;605;1141;1038;296;339;723;718;626;1074;519
ref before query (rbq);7011;431;9881;5310;10745;21415;15510;5899;13417;6436;12004
query berfore ref (qbr);5596;10683;14988;6560;1035;5628;2651;6355;0;5173;15812
max rbq;2076;110;1747;1118;1827;3808;4183;450;2042;1564;1157
max qbr;-1466;-1455;-1290;-1252;-66;-1566;-350;-1136;0;-435;-4321
max distance;177.68482533381987;179.69581627084926;175.65362659522006;179.93652725278972;177.45358841026564;177.8991699083089;179.69925677830182;179.7877108399281;176.32846773842135;178.2078193595768;179.19722446812753
min distane;0.03506093659690041;0.0032445846328471918;0.03259333984988831;0.08372140632555909;0.04115617321091569;0.00709357617362633;0.006140819820868379;0.0730137678990736;0.07203023352275723;0.04568486472288826;0.013790040593819386
Alias_Distance;BGL4_winkellog;BGL4_winkellog;BGL4_winkellog;BGL4_winkellog;BGL4_winkellog;BGL4_winkellog;BGL4_winkellog;BGL4_winkellog;BGL4_winkellog;BGL4_winkellog;BGL4_winkellog
distance;570111.2535825098;692288.3743385227;1140433.3820638095;667329.8128513581;414014.9921086734;669556.0007008833;688282.946270243;360608.851712752;437505.02269167267;437411.8956808131;812443.1694771394
mean_distance;60.1129537729344;72.99540007787037;60.130411371075056;70.37117081634062;43.654048092437094;35.30296323425516;57.438283090231415;38.02286500556221;46.13571893827614;46.12589852165065;42.83682218059366
zero-overhead-counter;891;133;339;577;296;640;215;312;626;177;517
ref before query (rbq);1109;9062;2751;2506;10562;21355;16316;5611;13549;1435;7373
query berfore ref (qbr);12664;7324;24998;11401;1035;3883;2625;7323;0;12739;18701
max rbq;146;3994;203;619;2007;3808;4276;450;2042;196;363
max qbr;-4536;-2940;-6982;-4238;-66;-647;-350;-1136;0;-3932;-4321
max distance;175.73679077351994;179.47235038155705;176.1422721901269;178.3359113196552;164.34061796783402;177.89916990829732;179.69925677830182;177.39805090334966;167.82634998319412;178.04979651606627;179.80764043831874
min distane;0.0001798360929740819;0.028840180188437425;0.005364506245509864;0.00033415369585183656;0.0004934347444928706;0.00012564741256563595;0.0003652478181825835;0.0001427944860255734;0.00036913653832214375;0.001972854580972886;0.0003913763529369332
Alias_Distance;BGL5_euklid;BGL5_euklid;BGL5_euklid;BGL5_euklid;BGL5_euklid;BGL5_euklid;BGL5_euklid;BGL5_euklid;BGL5_euklid;BGL5_euklid;BGL5_euklid
