u_0;u_1;v_0;v_1;Euklid;Winkel;Winkel+;Winkelsk;Winkellog
990;540;930;540;60.0;180.0;103.92304845413264;81.21390550307522;0.011875133888758167
991;540;929;540;62.0;180.0;104.79980916013159;83.1700012329586;0.014978177058543967
992;540;928;540;64.0;180.0;105.69768209379049;85.08736367225126;0.018891978770850432
993;540;927;540;66.0;180.0;106.61613386350116;86.96675979149416;0.023828322535174605
994;540;926;540;68.0;180.0;107.55463727799001;88.80894137419388;0.03005428349794647
995;540;925;540;70.0;180.0;108.51267207105353;90.6146453175463;0.03790664622114763
996;540;924;540;72.0;180.0;109.48972554536796;92.38459392720509;0.04781007165247994
997;540;923;540;74.0;180.0;110.4852931389513;94.1194952062138;0.06029998209533782
998;540;922;540;76.0;180.0;111.49887891813083;95.82004313821633;0.07605137970349572
999;540;921;540;78.0;180.0;112.52999600106631;97.48691796505977;0.09591512141529566
1000;540;920;540;80.0;180.0;113.57816691600547;99.12078645890011;0.1209635549315775
1001;540;919;540;82.0;180.0;114.64292389851194;100.72230218892014;0.15254789221742182
1002;540;918;540;84.0;180.0;115.72380913191546;102.29210578276566;0.19237027705618423
1003;540;917;540;86.0;180.0;116.82037493519698;103.8308251828052;0.2425742108604494
1004;540;916;540;88.0;180.0;117.93218390244455;105.33907589731537;0.30585785571400026
1005;540;915;540;90.0;180.0;119.05880899790658;106.81746124669216;0.38561575209584553
1006;540;914;540;92.0;180.0;120.19983361053376;108.26657260478747;0.4861156795143655
1007;540;913;540;94.0;180.0;121.35485157174394;109.6869896354662;0.6127187430533594
1008;540;912;540;96.0;180.0;122.52346713997282;111.07928052447983;0.7721522477204144
1009;540;911;540;98.0;180.0;123.70529495538985;112.44400220674808;0.9728464304585062
1010;540;910;540;100.0;180.0;124.89995996796796;113.78170058914039;1.2253474697415767
1011;540;909;540;102.0;180.0;126.10709734190222;115.0929107688459;1.542820050041531
1012;540;908;540;104.0;180.0;127.32635233917604;116.37815724741957;1.9416525586886804
1013;540;907;540;106.0;180.0;128.55738018488086;117.63795414058966;2.4421758267423517
1014;540;906;540;108.0;180.0;129.79984591670362;118.87280538391096;3.069500788353355
1015;540;905;540;110.0;180.0;131.05342422081156;120.08320493434569;3.8544694431883597
1016;540;904;540;112.0;180.0;132.31779925618474;121.26963696785289;4.83469413127096
1017;540;903;540;114.0;180.0;133.5926644692739;122.4325760730653;6.05562850678897
